number,name,height,weight,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed,generation,image_url
536,palpitoad,0.8,17.0,water,ground,75,65,55,65,55,69,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/536.png
537,seismitoad,1.5,62.0,water,ground,105,95,75,85,75,74,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/537.png
538,throh,1.3,55.5,fighting,none,120,100,85,30,85,45,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/538.png
539,sawk,1.4,51.0,fighting,none,75,125,75,30,75,85,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/539.png
540,sewaddle,0.3,2.5,bug,grass,45,53,70,40,60,42,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/540.png
541,swadloon,0.5,7.3,bug,grass,55,63,90,50,80,42,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/541.png
542,leavanny,1.2,20.5,bug,grass,75,103,80,70,80,92,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/542.png
543,venipede,0.4,5.3,bug,poison,30,45,59,30,39,57,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/543.png
544,whirlipede,1.2,58.5,bug,poison,40,55,99,40,79,47,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/544.png
545,scolipede,2.5,200.5,bug,poison,60,100,89,55,69,112,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/545.png
546,cottonee,0.3,0.6,grass,fairy,40,27,60,37,50,66,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/546.png
547,whimsicott,0.7,6.6,grass,fairy,60,67,85,77,75,116,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/547.png
548,petilil,0.5,6.6,grass,none,45,35,50,70,50,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/548.png
549,lilligant,1.1,16.3,grass,none,70,60,75,110,75,90,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/549.png
550,basculin-red-striped,1.0,18.0,water,none,70,92,65,80,55,98,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/550.png
551,sandile,0.7,15.2,ground,dark,50,72,35,35,35,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/551.png
552,krokorok,1.0,33.4,ground,dark,60,82,45,45,45,74,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/552.png
553,krookodile,1.5,96.3,ground,dark,95,117,80,65,70,92,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/553.png
554,darumaka,0.6,37.5,fire,none,70,90,45,15,45,50,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/554.png
555,darmanitan-standard,1.3,92.9,fire,none,105,140,55,30,55,95,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/555.png
556,maractus,1.0,28.0,grass,none,75,86,67,106,67,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/556.png
557,dwebble,0.3,14.5,bug,rock,50,65,85,35,35,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/557.png
558,crustle,1.4,200.0,bug,rock,70,105,125,65,75,45,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/558.png
559,scraggy,0.6,11.8,dark,fighting,50,75,70,35,70,48,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/559.png
560,scrafty,1.1,30.0,dark,fighting,65,90,115,45,115,58,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/560.png
561,sigilyph,1.4,14.0,psychic,flying,72,58,80,103,80,97,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/561.png
562,yamask,0.5,1.5,ghost,none,38,30,85,55,65,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/562.png
563,cofagrigus,1.7,76.5,ghost,none,58,50,145,95,105,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/563.png
564,tirtouga,0.7,16.5,water,rock,54,78,103,53,45,22,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/564.png
565,carracosta,1.2,81.0,water,rock,74,108,133,83,65,32,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/565.png
566,archen,0.5,9.5,rock,flying,55,112,45,74,45,70,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/566.png
567,archeops,1.4,32.0,rock,flying,75,140,65,112,65,110,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/567.png
568,trubbish,0.6,31.0,poison,none,50,50,62,40,62,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/568.png
569,garbodor,1.9,107.3,poison,none,80,95,82,60,82,75,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/569.png
570,zorua,0.7,12.5,dark,none,40,65,40,80,40,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/570.png
571,zoroark,1.6,81.1,dark,none,60,105,60,120,60,105,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/571.png
572,minccino,0.4,5.8,normal,none,55,50,40,40,40,75,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/572.png
573,cinccino,0.5,7.5,normal,none,75,95,60,65,60,115,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/573.png
574,gothita,0.4,5.8,psychic,none,45,30,50,55,65,45,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/574.png
575,gothorita,0.7,18.0,psychic,none,60,45,70,75,85,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/575.png
576,gothitelle,1.5,44.0,psychic,none,70,55,95,95,110,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/576.png
577,solosis,0.3,1.0,psychic,none,45,30,40,105,50,20,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/577.png
578,duosion,0.6,8.0,psychic,none,65,40,50,125,60,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/578.png
579,reuniclus,1.0,20.1,psychic,none,110,65,75,125,85,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/579.png
580,ducklett,0.5,5.5,water,flying,62,44,50,44,50,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/580.png
581,swanna,1.3,24.2,water,flying,75,87,63,87,63,98,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/581.png
582,vanillite,0.4,5.7,ice,none,36,50,50,65,60,44,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/582.png
583,vanillish,1.1,41.0,ice,none,51,65,65,80,75,59,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/583.png
584,vanilluxe,1.3,57.5,ice,none,71,95,85,110,95,79,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/584.png
585,deerling,0.6,19.5,normal,grass,60,60,50,40,50,75,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/585.png
586,sawsbuck,1.9,92.5,normal,grass,80,100,70,60,70,95,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/586.png
587,emolga,0.4,5.0,electric,flying,55,75,60,75,60,103,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/587.png
588,karrablast,0.5,5.9,bug,none,50,75,45,40,45,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/588.png
589,escavalier,1.0,33.0,bug,steel,70,135,105,60,105,20,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/589.png
590,foongus,0.2,1.0,grass,poison,69,55,45,55,55,15,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/590.png
591,amoonguss,0.6,10.5,grass,poison,114,85,70,85,80,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/591.png
592,frillish,1.2,33.0,water,ghost,55,40,50,65,85,40,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/592.png
593,jellicent,2.2,135.0,water,ghost,100,60,70,85,105,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/593.png
594,alomomola,1.2,31.6,water,none,165,75,80,40,45,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/594.png
595,joltik,0.1,0.6,bug,electric,50,47,50,57,50,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/595.png
596,galvantula,0.8,14.3,bug,electric,70,77,60,97,60,108,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/596.png
597,ferroseed,0.6,18.8,grass,steel,44,50,91,24,86,10,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/597.png
598,ferrothorn,1.0,110.0,grass,steel,74,94,131,54,116,20,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/598.png
599,klink,0.3,21.0,steel,none,40,55,70,45,60,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/599.png
600,klang,0.6,51.0,steel,none,60,80,95,70,85,50,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/600.png
601,klinklang,0.6,81.0,steel,none,60,100,115,70,85,90,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/601.png
602,tynamo,0.2,0.3,electric,none,35,55,40,45,40,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/602.png
603,eelektrik,1.2,22.0,electric,none,65,85,70,75,70,40,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/603.png
604,eelektross,2.1,80.5,electric,none,85,115,80,105,80,50,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/604.png
605,elgyem,0.5,9.0,psychic,none,55,55,55,85,55,30,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/605.png
606,beheeyem,1.0,34.5,psychic,none,75,75,75,125,95,40,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/606.png
607,litwick,0.3,3.1,ghost,fire,50,30,55,65,55,20,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/607.png
608,lampent,0.6,13.0,ghost,fire,60,40,60,95,60,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/608.png
609,chandelure,1.0,34.3,ghost,fire,60,55,90,145,90,80,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/609.png
610,axew,0.6,18.0,dragon,none,46,87,60,30,40,57,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/610.png
611,fraxure,1.0,36.0,dragon,none,66,117,70,40,50,67,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/611.png
612,haxorus,1.8,105.5,dragon,none,76,147,90,60,70,97,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/612.png
613,cubchoo,0.5,8.5,ice,none,55,70,40,60,40,40,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/613.png
614,beartic,2.6,260.0,ice,none,95,130,80,70,80,50,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/614.png
615,cryogonal,1.1,148.0,ice,none,80,50,50,95,135,105,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/615.png
616,shelmet,0.4,7.7,bug,none,50,40,85,40,65,25,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/616.png
617,accelgor,0.8,25.3,bug,none,80,70,40,100,60,145,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/617.png
618,stunfisk,0.7,11.0,ground,electric,109,66,84,81,99,32,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/618.png
619,mienfoo,0.9,20.0,fighting,none,45,85,50,55,50,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/619.png
620,mienshao,1.4,35.5,fighting,none,65,125,60,95,60,105,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/620.png
621,druddigon,1.6,139.0,dragon,none,77,120,90,60,90,48,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/621.png
622,golett,1.0,92.0,ground,ghost,59,74,50,35,50,35,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/622.png
623,golurk,2.8,330.0,ground,ghost,89,124,80,55,80,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/623.png
624,pawniard,0.5,10.2,dark,steel,45,85,70,40,40,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/624.png
625,bisharp,1.6,70.0,dark,steel,65,125,100,60,70,70,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/625.png
626,bouffalant,1.6,94.6,normal,none,95,110,95,40,95,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/626.png
627,rufflet,0.5,10.5,normal,flying,70,83,50,37,50,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/627.png
628,braviary,1.5,41.0,normal,flying,100,123,75,57,75,80,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/628.png
629,vullaby,0.5,9.0,dark,flying,70,55,75,45,65,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/629.png
630,mandibuzz,1.2,39.5,dark,flying,110,65,105,55,95,80,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/630.png
631,heatmor,1.4,58.0,fire,none,85,97,66,105,66,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/631.png
632,durant,0.3,33.0,bug,steel,58,109,112,48,48,109,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/632.png
633,deino,0.8,17.3,dark,dragon,52,65,50,45,50,38,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/633.png
634,zweilous,1.4,50.0,dark,dragon,72,85,70,65,70,58,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/634.png
635,hydreigon,1.8,160.0,dark,dragon,92,105,90,125,90,98,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/635.png
636,larvesta,1.1,28.8,bug,fire,55,85,55,50,55,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/636.png
637,volcarona,1.6,46.0,bug,fire,85,60,65,135,105,100,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/637.png
638,cobalion,2.1,250.0,steel,fighting,91,90,129,90,72,108,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/638.png
639,terrakion,1.9,260.0,rock,fighting,91,129,90,72,90,108,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/639.png
640,virizion,2.0,200.0,grass,fighting,91,90,72,90,129,108,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/640.png
641,tornadus-incarnate,1.5,63.0,flying,none,79,115,70,125,80,111,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/641.png
642,thundurus-incarnate,1.5,61.0,electric,flying,79,115,70,125,80,111,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/642.png
643,reshiram,3.2,330.0,dragon,fire,100,120,100,150,120,90,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/643.png
644,zekrom,2.9,345.0,dragon,electric,100,150,120,120,100,90,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/644.png
645,landorus-incarnate,1.5,68.0,ground,flying,89,125,90,115,80,101,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/645.png
646,kyurem,3.0,325.0,dragon,ice,125,130,90,130,90,95,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/646.png
647,keldeo-ordinary,1.4,48.5,water,fighting,91,72,90,129,90,108,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/647.png
648,meloetta-aria,0.6,6.5,normal,psychic,100,77,77,128,128,90,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/648.png
649,genesect,1.5,82.5,bug,steel,71,120,95,120,95,99,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/649.png
650,chespin,0.4,9.0,grass,none,56,61,65,48,45,38,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/650.png
651,quilladin,0.7,29.0,grass,none,61,78,95,56,58,57,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/651.png
652,chesnaught,1.6,90.0,grass,fighting,88,107,122,74,75,64,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/652.png
653,fennekin,0.4,9.4,fire,none,40,45,40,62,60,60,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/653.png
654,braixen,1.0,14.5,fire,none,59,59,58,90,70,73,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/654.png
655,delphox,1.5,39.0,fire,psychic,75,69,72,114,100,104,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/655.png
656,froakie,0.3,7.0,water,none,41,56,40,62,44,71,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/656.png
657,frogadier,0.6,10.9,water,none,54,63,52,83,56,97,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/657.png
658,greninja,1.5,40.0,water,dark,72,95,67,103,71,122,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/658.png
659,bunnelby,0.4,5.0,normal,none,38,36,38,32,36,57,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png
660,diggersby,1.0,42.4,normal,ground,85,56,77,50,77,78,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/660.png
661,fletchling,0.3,1.7,normal,flying,45,50,43,40,38,62,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/661.png
662,fletchinder,0.7,16.0,fire,flying,62,73,55,56,52,84,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/662.png
663,talonflame,1.2,24.5,fire,flying,78,81,71,74,69,126,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/663.png
664,scatterbug,0.3,2.5,bug,none,38,35,40,27,25,35,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/664.png
665,spewpa,0.3,8.4,bug,none,45,22,60,27,30,29,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/665.png
666,vivillon,1.2,17.0,bug,flying,80,52,50,90,50,89,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/666.png
667,litleo,0.6,13.5,fire,normal,62,50,58,73,54,72,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/667.png
668,pyroar,1.5,81.5,fire,normal,86,68,72,109,66,106,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/668.png
669,flabebe,0.1,0.1,fairy,none,44,38,39,61,79,42,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/669.png
670,floette,0.2,0.9,fairy,none,54,45,47,75,98,52,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/670.png
671,florges,1.1,10.0,fairy,none,78,65,68,112,154,75,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/671.png
672,skiddo,0.9,31.0,grass,none,66,65,48,62,57,52,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/672.png
673,gogoat,1.7,91.0,grass,none,123,100,62,97,81,68,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/673.png
674,pancham,0.6,8.0,fighting,none,67,82,62,46,48,43,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/674.png
675,pangoro,2.1,136.0,fighting,dark,95,124,78,69,71,58,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/675.png
676,furfrou,1.2,28.0,normal,none,75,80,60,65,90,102,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/676.png
677,espurr,0.3,3.5,psychic,none,62,48,54,63,60,68,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/677.png
678,meowstic-male,0.6,8.5,psychic,none,74,48,76,83,81,104,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/678.png
679,honedge,0.8,2.0,steel,ghost,45,80,100,35,37,28,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/679.png
680,doublade,0.8,4.5,steel,ghost,59,110,150,45,49,35,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/680.png
681,aegislash-shield,1.7,53.0,steel,ghost,60,50,150,50,150,60,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/681.png
682,spritzee,0.2,0.5,fairy,none,78,52,60,63,65,23,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/682.png
683,aromatisse,0.8,15.5,fairy,none,101,72,72,99,89,29,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/683.png
684,swirlix,0.4,3.5,fairy,none,62,48,66,59,57,49,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/684.png
685,slurpuff,0.8,5.0,fairy,none,82,80,86,85,75,72,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/685.png
686,inkay,0.4,3.5,dark,psychic,53,54,53,37,46,45,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/686.png
687,malamar,1.5,47.0,dark,psychic,86,92,88,68,75,73,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/687.png
688,binacle,0.5,31.0,rock,water,42,52,67,39,56,50,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/688.png
689,barbaracle,1.3,96.0,rock,water,72,105,115,54,86,68,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/689.png
690,skrelp,0.5,7.3,poison,water,50,60,60,60,60,30,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/690.png
691,dragalge,1.8,81.5,poison,dragon,65,75,90,97,123,44,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/691.png
692,clauncher,0.5,8.3,water,none,50,53,62,58,63,44,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/692.png
693,clawitzer,1.3,35.3,water,none,71,73,88,120,89,59,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/693.png
694,helioptile,0.5,6.0,electric,normal,44,38,33,61,43,70,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/694.png
695,heliolisk,1.0,21.0,electric,normal,62,55,52,109,94,109,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/695.png
696,tyrunt,0.8,26.0,rock,dragon,58,89,77,45,45,48,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/696.png
697,tyrantrum,2.5,270.0,rock,dragon,82,121,119,69,59,71,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/697.png
698,amaura,1.3,25.2,rock,ice,77,59,50,67,63,46,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/698.png
699,aurorus,2.7,225.0,rock,ice,123,77,72,99,92,58,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/699.png
700,sylveon,1.0,23.5,fairy,none,95,65,65,110,130,60,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/700.png
701,hawlucha,0.8,21.5,fighting,flying,78,92,75,74,63,118,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/701.png
702,dedenne,0.2,2.2,electric,fairy,67,58,57,81,67,101,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/702.png
703,carbink,0.3,5.7,rock,fairy,50,50,150,50,150,50,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/703.png
704,goomy,0.3,2.8,dragon,none,45,50,35,55,75,40,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/704.png
705,sliggoo,0.8,17.5,dragon,none,68,75,53,83,113,60,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/705.png
706,goodra,2.0,150.5,dragon,none,90,100,70,110,150,80,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/706.png
707,klefki,0.2,3.0,steel,fairy,57,80,91,80,87,75,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/707.png
708,phantump,0.4,7.0,ghost,grass,43,70,48,50,60,38,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/708.png
709,trevenant,1.5,71.0,ghost,grass,85,110,76,65,82,56,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/709.png
710,pumpkaboo-average,0.4,5.0,ghost,grass,49,66,70,44,55,51,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/710.png
711,gourgeist-average,0.9,12.5,ghost,grass,65,90,122,58,75,84,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/711.png
712,bergmite,1.0,99.5,ice,none,55,69,85,32,35,28,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/712.png
713,avalugg,2.0,505.0,ice,none,95,117,184,44,46,28,generation-vi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/713.png
